brand;product_name;format;serving_size_g;serving_count;volume_g;price_usd;discount_pct;serving_price;key_ingredient;channel;url;date_collected;purchase_type
Clevr Blends;Clevr Matcha SuperLatte, Instant Ceremonial Grade, Superfood Powder Blend with Lions Mane, Reishi Mushroom, Coconut Cream, Ashwagandha, Serve Hot or Iced, (14 Lattes);instant;;14;340.2;29;0;2.0714;reishi;amazon;https://www.amazon.com/dp/B09JV6TT9C;25.05.2026;single
Clevr Blends;Clevr Matcha SuperLatte, Instant Ceremonial Grade, Superfood Powder Blend with Lions Mane, Reishi Mushroom, Coconut Cream, Ashwagandha, Serve Hot or Iced, (14 Lattes);instant;;14;340.2;26.1;10;1.8643;reishi;amazon;https://www.amazon.com/dp/B09JV6TT9C;25.05.2026;subscription
Clevr Blends;Clevr Chai Tea Latte, Instant Superfood Powder Blend with Lion’s Mane, Reishi Mushroom, Black Tea, Organic Spices, Coconut Cream, Ashwagandha, Oprah’s Favorite Things 2022 (14 Lattes);instant;;14;340;29;0;2.0714;reishi;amazon;https://www.amazon.com/dp/B0C3KF9G2G;25.05.2026;single
Clevr Blends;Clevr Chai Tea Latte, Instant Superfood Powder Blend with Lion’s Mane, Reishi Mushroom, Black Tea, Organic Spices, Coconut Cream, Ashwagandha, Oprah’s Favorite Things 2022 (14 Lattes);instant;;14;340;26.1;10;1.8643;reishi;amazon;https://www.amazon.com/dp/B0C3KF9G2G;25.05.2026;subscription
Clevr Blends;Clevr Mushroom Coffee – Decadent Café-Style Latte, Arabica Coffee, Ashwagandha, Lions Mane, Reishi, Probiotics for Energy & Focus – 14 Servings;instant;;14;340.2;29;0;2.0714;reishi;amazon;https://www.amazon.com/dp/B0C3K512XQ;25.05.2026;single
Clevr Blends;Clevr Mushroom Coffee – Decadent Café-Style Latte, Arabica Coffee, Ashwagandha, Lions Mane, Reishi, Probiotics for Energy & Focus – 14 Servings;instant;;14;340.2;26.1;10;1.8643;reishi;amazon;https://www.amazon.com/dp/B0C3K512XQ;25.05.2026;subscription
Clevr Blends;Clevr Honey Lavender Matcha SuperLatte, Instant Ceremonial Grade, Superfood Powder Blend, Lions Mane, Reishi Mushroom, Coconut Cream, Ashwagandha, Serve Hot or Iced (14 Lattes);instant;;14;340.2;32;0;2.2857;reishi;amazon;https://www.amazon.com/dp/B0F8XC296G;25.05.2026;single
Clevr Blends;Clevr Honey Lavender Matcha SuperLatte, Instant Ceremonial Grade, Superfood Powder Blend, Lions Mane, Reishi Mushroom, Coconut Cream, Ashwagandha, Serve Hot or Iced (14 Lattes);instant;;14;340.2;28.8;10;2.0571;reishi;amazon;https://www.amazon.com/dp/B0F8XC296G;25.05.2026;subscription
Clevr Blends;Clevr Pistachio Matcha SuperLatte, Organic Ceremonial Grade, Instant Superfood Powder Blend with Lions Mane, Reishi Mushroom, Coconut Cream, Ashwagandha, Serve Hot or Iced (14 Lattes);instant;;14;340.2;32;0;2.2857;reishi;amazon;https://www.amazon.com/dp/B0F8X8L5WF;25.05.2026;single
Clevr Blends;Clevr Pistachio Matcha SuperLatte, Organic Ceremonial Grade, Instant Superfood Powder Blend with Lions Mane, Reishi Mushroom, Coconut Cream, Ashwagandha, Serve Hot or Iced (14 Lattes);instant;;14;340.2;28.8;10;2.0571;reishi;amazon;https://www.amazon.com/dp/B0F8X8L5WF;25.05.2026;subscription
Clevr Blends;Strawberry Matcha SuperLatte – Decadent Café-Style Latte, Organic Ceremonial Japanese Tea, L-Theanine, Supports Radiant Skin, Energy, Focus, Gut Health – 14 Servings;instant;;14;340.2;32;0;2.2857;;amazon;https://www.amazon.com/dp/B0GKGRKNBV;25.05.2026;single
Clevr Blends;Strawberry Matcha SuperLatte – Decadent Café-Style Latte, Organic Ceremonial Japanese Tea, L-Theanine, Supports Radiant Skin, Energy, Focus, Gut Health – 14 Servings;instant;;14;340.2;28.8;10;2.0571;;amazon;https://www.amazon.com/dp/B0GKGRKNBV;25.05.2026;subscription
Clevr Blends;Clevr Honey Vanilla Matcha SuperLatte, Instant Ceremonial Grade, Superfood Powder Blend, Lions Mane, Reishi Mushroom, Coconut Cream, Ashwagandha, Serve Hot or Iced (14 Lattes);instant;;14;340.2;32;0;2.2857;reishi;amazon;https://www.amazon.com/dp/B0F8WMSJC8;25.05.2026;single
Clevr Blends;Clevr Honey Vanilla Matcha SuperLatte, Instant Ceremonial Grade, Superfood Powder Blend, Lions Mane, Reishi Mushroom, Coconut Cream, Ashwagandha, Serve Hot or Iced (14 Lattes);instant;;14;340.2;28.8;10;2.0571;reishi;amazon;https://www.amazon.com/dp/B0F8WMSJC8;25.05.2026;subscription
Clevr Blends;Clevr Chai Tea Latte, Instant Superfood Powder Blend with Lions Mane, Reishi Mushroom, Black Tea, Organic Spices, Coconut Cream, Ashwagandha, Oprah’s Favorite Things 2022, (30 Lattes);instant;;30;725.7;58;0;1.9333;reishi;amazon;https://www.amazon.com/dp/B0F67NZBGP;25.05.2026;single
Clevr Blends;Clevr Chai Tea Latte, Instant Superfood Powder Blend with Lions Mane, Reishi Mushroom, Black Tea, Organic Spices, Coconut Cream, Ashwagandha, Oprah’s Favorite Things 2022, (30 Lattes);instant;;30;725.7;52.2;10;1.74;reishi;amazon;https://www.amazon.com/dp/B0F67NZBGP;25.05.2026;subscription
Clevr Blends;Clevr Turmeric Powder, Golden Milk Instant Latte Mix, Superfood Powder with Lions Mane, Reishi Mushroom, Organic Spices, Coconut Cream, Ashwagandha, Serve Hot or Iced, (14 Lattes);instant;;14;340.2;29;0;2.0714;reishi;amazon;https://www.amazon.com/dp/B0C3KF9G2K;25.05.2026;single
Clevr Blends;Clevr Turmeric Powder, Golden Milk Instant Latte Mix, Superfood Powder with Lions Mane, Reishi Mushroom, Organic Spices, Coconut Cream, Ashwagandha, Serve Hot or Iced, (14 Lattes);instant;;14;340.2;26.1;10;1.8643;reishi;amazon;https://www.amazon.com/dp/B0C3KF9G2K;25.05.2026;subscription
Clevr Blends;Clevr Matcha Superlatte, Instant Ceremonial Grade, Superfood Powder Blend with Lions Mane, Reishi Mushroom, Coconut Cream, Ashwagandha, Serve Hot or Iced, (30 Lattes);instant;;30;725.7;58;0;1.9333;reishi;amazon;https://www.amazon.com/dp/B0F67PJZ15;25.05.2026;single
Clevr Blends;Clevr Matcha Superlatte, Instant Ceremonial Grade, Superfood Powder Blend with Lions Mane, Reishi Mushroom, Coconut Cream, Ashwagandha, Serve Hot or Iced, (30 Lattes);instant;;30;725.7;52.2;10;1.74;reishi;amazon;https://www.amazon.com/dp/B0F67PJZ15;25.05.2026;subscription
Clevr Blends;Clevr Blends Turmeric Powder, Golden Milk Instant Latte Mix, Superfood Powder with Oat Milk, Lions Mane, Reishi Mushroom, Organic Spices, Coconut Cream, Ashwagandha, Serve Hot or Iced, 14 Servings;instant;;14;340.2;29;0;2.0714;reishi;amazon;https://www.amazon.com/dp/B09H8944CG;25.05.2026;single
