brand,product_name,format,serving_size_g,serving_count,volume_g,price_usd,discount_pct,serving_price,key_ingredient,channel,url,date_collected,purchase_type
VenturePal,"Venture Pal Mushroom Coffee (40 Servings) 12 Adaptogenic Mushrooms, Lion’s Mane, Cordyceps, Turkey Tail, Reishi, Ashwagandha & Probiotics, Instant Coffee for Focus, Digestion & Immune Support",instant,,40,100.1,14.99,0.0,0.3748,reishi,amazon,https://www.amazon.com/dp/B0DDCJFFBM,2026-05-25,single
VenturePal,"Venture Pal Mushroom Coffee (40 Servings) 12 Adaptogenic Mushrooms, Lion’s Mane, Cordyceps, Turkey Tail, Reishi, Ashwagandha & Probiotics, Instant Coffee for Focus, Digestion & Immune Support",instant,,40,100.1,13.49,10.0,0.3372,reishi,amazon,https://www.amazon.com/dp/B0DDCJFFBM,2026-05-25,subscription
VenturePal,"Venture Pal Calm Drink Mix, 12-in-1 Cortisol Reducer and Sleep Aid with Magnesium Glycinate, Ashwagandha, L-Theanine,Vitamin D, Calm Magnesium Powder for Relax & Focus, No Sugar, Non GMO",instant,,20,453.6,17.24,25,0.862,adaptogen,amazon,https://www.amazon.com/dp/B0DGPZ3QST,2026-05-25,single
VenturePal,"Venture Pal Calm Drink Mix, 12-in-1 Cortisol Reducer and Sleep Aid with Magnesium Glycinate, Ashwagandha, L-Theanine,Vitamin D, Calm Magnesium Powder for Relax & Focus, No Sugar, Non GMO",instant,,20,453.6,15.52,25.0,0.776,adaptogen,amazon,https://www.amazon.com/dp/B0DGPZ3QST,2026-05-25,subscription
VenturePal,"60 Day Supply Magnesium Glycinate 400mg Gummies with Ashwagandha, L-Theanine, CoQ10, Vitamin D3 & B6, Sugar Free Magnesium Gummies for Adults & Kids, Stress Relief, Sleep & Calm, Vegan, Gluten Free",instant,,60,,9.99,0.0,0.1665,adaptogen,amazon,https://www.amazon.com/dp/B0DCFVZNRQ,2026-05-25,single
VenturePal,"60 Day Supply Magnesium Glycinate 400mg Gummies with Ashwagandha, L-Theanine, CoQ10, Vitamin D3 & B6, Sugar Free Magnesium Gummies for Adults & Kids, Stress Relief, Sleep & Calm, Vegan, Gluten Free",instant,,60,,8.99,10.0,0.1498,adaptogen,amazon,https://www.amazon.com/dp/B0DCFVZNRQ,2026-05-25,subscription
VenturePal,"60 Day Supply Magnesium Glycinate 400mg Gummies with Ashwagandha, L-Theanine, CoQ10, Vitamin D3 & B6, Sugar Free Magnesium Gummies for Adults & Kids, Stress Relief, Sleep & Calm, Vegan, Gluten Free",instant,,60,,12.99,0.0,0.2165,adaptogen,amazon,https://www.amazon.com/dp/B0DCFTZL8G,2026-05-25,single
VenturePal,"60 Day Supply Magnesium Glycinate 400mg Gummies with Ashwagandha, L-Theanine, CoQ10, Vitamin D3 & B6, Sugar Free Magnesium Gummies for Adults & Kids, Stress Relief, Sleep & Calm, Vegan, Gluten Free",instant,,60,,11.69,10.0,0.1948,adaptogen,amazon,https://www.amazon.com/dp/B0DCFTZL8G,2026-05-25,subscription
VenturePal,"Venture Pal Multi Collagen Powder Type I, II, III, V, X – Hydrolyzed Collagen Peptides MSM, GC, Hyaluronic Acid Vitamin C | Collagen Supplement for Women | Joint, Hair, Skin & Nail Support | Non-GMO",capsule,,41,299.9,19.99,0.0,0.4876,collagen,amazon,https://www.amazon.com/dp/B0DTQ1KTSM,2026-05-25,single
VenturePal,"Venture Pal Multi Collagen Powder Type I, II, III, V, X – Hydrolyzed Collagen Peptides MSM, GC, Hyaluronic Acid Vitamin C | Collagen Supplement for Women | Joint, Hair, Skin & Nail Support | Non-GMO",capsule,,41,299.9,17.99,10.0,0.4388,collagen,amazon,https://www.amazon.com/dp/B0DTQ1KTSM,2026-05-25,subscription
VenturePal,"Venture Pal 100% Pure Micronized Creatine Monohydrate Powder, Unflavored Creatine for Women & Men, Vegan, Keto, Gluten Free, 5 g (5000mg) per Serving, Creatina Monohidratada en Polvo",instant,,20,300.5,9.99,0.0,0.4995,,amazon,https://www.amazon.com/dp/B0FHHD5M7T,2026-05-25,single
VenturePal,"Venture Pal 100% Pure Micronized Creatine Monohydrate Powder, Unflavored Creatine for Women & Men, Vegan, Keto, Gluten Free, 5 g (5000mg) per Serving, Creatina Monohidratada en Polvo",instant,,20,300.5,8.99,10.0,0.4495,,amazon,https://www.amazon.com/dp/B0FHHD5M7T,2026-05-25,subscription
VenturePal,"Venture Pal 16 in 1 Mushroom Powder (90 Servings) - 1,730mg Mushroom Coffee Alternative with Ashwagandha, Lion’s Mane, Chaga & More | 100% Fruiting Bodies | Support Immune, Focus & Energy",instant,,90,180.0,19.99,0.0,0.2221,chaga,amazon,https://www.amazon.com/dp/B0DTHYK85S,2026-05-25,single
VenturePal,"Venture Pal 16 in 1 Mushroom Powder (90 Servings) - 1,730mg Mushroom Coffee Alternative with Ashwagandha, Lion’s Mane, Chaga & More | 100% Fruiting Bodies | Support Immune, Focus & Energy",instant,,90,180.0,17.99,10.0,0.1999,chaga,amazon,https://www.amazon.com/dp/B0DTHYK85S,2026-05-25,subscription
VenturePal,"Venture Pal Mushroom Matcha Powder – 13 Superfood Mushroom Coffee Alternative with Ceremonial Grade Matcha Powder, 1.5B Probiotics for Focus, Energy & Digestion",instant,,30,165.0,16.99,0.0,0.5663,,amazon,https://www.amazon.com/dp/B0F2FPWJDV,2026-05-25,single
VenturePal,"Venture Pal Mushroom Matcha Powder – 13 Superfood Mushroom Coffee Alternative with Ceremonial Grade Matcha Powder, 1.5B Probiotics for Focus, Energy & Digestion",instant,,30,165.0,15.29,10.0,0.5097,,amazon,https://www.amazon.com/dp/B0F2FPWJDV,2026-05-25,subscription
VenturePal,"Mushroom Hot Cocoa Powder with Magnesium Glycinate, Natural Sleep Aid with Reishi & L-Theanine for Adults, 12 Superfoods, Melatonin 3mg, Unsweetened Hot Chocolate Drink Mix for Sleep, 30 Servings",instant,,30,299.9,29.99,0.0,0.9997,reishi,amazon,https://www.amazon.com/dp/B0F8HXNY5N,2026-05-25,single
